Station ID,angle,arrow_xoffset,arrow_yoffset,value_xoffset,value_yoffset,label_xoffset,label_yoffset
ODM, 130, 0, -0.01, 0, -0.006, 0, 0
ORM, 130, 0, -0.01, 0.001, -0.01, 0, 0
OLD, 180, 0, -0.01, 0, -0.004, 0, 0
GLC, 180, 0.04, 0.01,0,-0.006,0
GLE, 180, 0.005, 0.01,0,-0.004, 0
ORI, 107, -0.015, 0.01, -0.03, 0, 0
WCI, 107, 0.01, 0.01, 0.005, 0, 0
VCU, 28, 0.01, -0.002, 0.001, -0.004, 0
SGA, 90, 0, 0, 0, 0, 0
DAR, 90, 0, 0, 0, 0, 0
ORX, 185, 0, -0.002, 0, -0.004, 0
MRU, 40, 0.02, 0, 0.002, 0, 0
MAB, 170, 0, 0.01,0.002,0.004,0
OH1, 180, 0, -0.006, 0, -0.004, 0
MSD, 110, 0.01, 0, 0.005, 0, 0
VNS, 120, -0.01, 0, -0.03, 0, 0
PDC, 180, 0, 0, 0, 0, 0